,Day,Date,Home/Away,Opponent,Score,W/L/T,Overtime,Location,Venue,Attendance,Notes,Team,Team Code
2,Sun,10/14/1951,A,Cleveland Browns,0-45,L,,"Cleveland, OH",Cleveland Stadium,33968,,Washington Redskins,was
3,Sun,10/21/1951,H,Chicago Cardinals,7-3,W,,"Washington, DC",Griffith Stadium,22960,,Washington Redskins,was
4,Sun,10/28/1951,A,Philadelphia Eagles,27-23,W,,"Philadelphia, PA",Shibe Park,20437,,Washington Redskins,was
5,Sun,11/4/1951,H,Chicago Bears,0-27,L,,"Washington, DC",Griffith Stadium,31737,,Washington Redskins,was
6,Sun,11/11/1951,A,New York Giants,14-28,L,,"New York, NY",Polo Grounds,21242,,Washington Redskins,was
7,Sun,11/18/1951,A,Pittsburgh Steelers,22-7,W,,"Pittsburgh, PA",Forbes Field,15060,,Washington Redskins,was
8,Sun,11/25/1951,H,Los Angeles Rams,31-21,W,,"Washington, DC",Griffith Stadium,26307,,Washington Redskins,was
9,Sun,12/2/1951,H,Philadelphia Eagles,21-35,L,,"Washington, DC",Griffith Stadium,23738,,Washington Redskins,was
10,Sun,12/9/1951,A,Chicago Cardinals,20-17,W,,"Chicago, IL",Comiskey Park,9459,,Washington Redskins,was
11,Sun,12/16/1951,H,Pittsburgh Steelers,10-20,L,,"Washington, DC",Griffith Stadium,18096,,Washington Redskins,was
0,Mon,10/1/1951,H,New York Giants,13-13,T,,"Pittsburgh, PA",Forbes Field,27984,,Pittsburgh Steelers,pit
1,Sun,10/7/1951,A,Green Bay Packers,33-35,L,,"West Allis, WI",Wisconsin State Fair Park,8324,,Pittsburgh Steelers,pit
2,Sun,10/14/1951,H,San Francisco 49ers,24-28,L,,"Pittsburgh, PA",Forbes Field,27124,,Pittsburgh Steelers,pit
3,Sun,10/21/1951,A,Cleveland Browns,0-17,L,,"Cleveland, OH",Cleveland Stadium,32409,,Pittsburgh Steelers,pit
4,Sun,10/28/1951,A,Chicago Cardinals,28-14,W,,"Chicago, IL",Comiskey Park,14773,,Pittsburgh Steelers,pit
5,Sun,11/4/1951,H,Philadelphia Eagles,13-34,L,,"Pittsburgh, PA",Forbes Field,19649,,Pittsburgh Steelers,pit
6,Sun,11/11/1951,H,Green Bay Packers,28-7,W,,"Pittsburgh, PA",Forbes Field,20080,,Pittsburgh Steelers,pit
7,Sun,11/18/1951,H,Washington Redskins,7-22,L,,"Pittsburgh, PA",Forbes Field,15060,,Pittsburgh Steelers,pit
8,Sun,11/25/1951,A,Philadelphia Eagles,17-13,W,,"Philadelphia, PA",Shibe Park,15537,,Pittsburgh Steelers,pit
9,Sun,12/2/1951,A,New York Giants,0-14,L,,"New York, NY",Polo Grounds,18186,,Pittsburgh Steelers,pit
10,Sun,12/9/1951,H,Cleveland Browns,0-28,L,,"Pittsburgh, PA",Forbes Field,24229,,Pittsburgh Steelers,pit
11,Sun,12/16/1951,A,Washington Redskins,20-10,W,,"Washington, DC",Griffith Stadium,18096,,Pittsburgh Steelers,pit
0,Sun,9/30/1951,A,Chicago Cardinals,17-14,W,,"Chicago, IL",Comiskey Park,16129,,Philadelphia Eagles,phi
1,Sat,10/6/1951,H,San Francisco 49ers,21-14,W,,"Philadelphia, PA",Shibe Park,23432,,Philadelphia Eagles,phi
2,Sun,10/14/1951,A,Green Bay Packers,24-347,L,,"Green Bay, WI",City Stadium,18489,,Philadelphia Eagles,phi
3,Sun,10/21/1951,A,New York Giants,24-26,L,,"New York, NY",Polo Grounds,28656,,Philadelphia Eagles,phi
4,Sun,10/28/1951,H,Washington Redskins,23-27,L,,"Philadelphia, PA",Shibe Park,20437,,Philadelphia Eagles,phi
5,Sun,11/4/1951,A,Pittsburgh Steelers,34-13,W,,"Pittsburgh, PA",Forbes Field,19649,,Philadelphia Eagles,phi
6,Sun,11/11/1951,A,Cleveland Browns,17-20,L,,"Cleveland, OH",Cleveland Stadium,36571,,Philadelphia Eagles,phi
7,Sun,11/18/1951,H,Detroit Lions,10-28,L,,"Philadelphia, PA",Shibe Park,25350,,Philadelphia Eagles,phi
8,Sun,11/25/1951,H,Pittsburgh Steelers,13-17,L,,"Philadelphia, PA",Shibe Park,15537,,Philadelphia Eagles,phi
9,Sun,12/2/1951,A,Washington Redskins,35-21,W,,"Washington, DC",Griffith Stadium,23738,,Philadelphia Eagles,phi
10,Sun,12/9/1951,H,New York Giants,7-23,L,,"Philadelphia, PA",Shibe Park,19342,,Philadelphia Eagles,phi
11,Sun,12/16/1951,H,Cleveland Browns,9-24,L,,"Philadelphia, PA",Shibe Park,16623,,Philadelphia Eagles,phi
0,Sun,9/30/1951,H,Philadelphia Eagles,14-17,L,,"Chicago, IL",Comiskey Park,16129,,Chicago Cardinals,chic
1,Sun,10/7/1951,H,Chicago Bears,28-14,W,,"Chicago, IL",Comiskey Park,33781,,Chicago Cardinals,chic
2,Sun,10/14/1951,A,New York Giants,17-28,L,,"New York, NY",Polo Grounds,28095,,Chicago Cardinals,chic
3,Sun,10/21/1951,A,Washington Redskins,3-7,L,,"Washington, DC",Griffith Stadium,22960,,Chicago Cardinals,chic
4,Sun,10/28/1951,H,Pittsburgh Steelers,14-28,L,,"Chicago, IL",Comiskey Park,14773,,Chicago Cardinals,chic
5,Sun,11/4/1951,H,Cleveland Browns,17-34,L,,"Chicago, IL",Comiskey Park,19742,,Chicago Cardinals,chic
6,Sun,11/11/1951,A,Los Angeles Rams,21-45,L,,"Los Angeles, CA",Memorial Coliseum,29995,,Chicago Cardinals,chic
7,Sun,11/18/1951,A,San Francisco 49ers,27-21,W,,"San Francisco, CA",Kezar Stadium,19658,,Chicago Cardinals,chic
8,Sun,11/25/1951,H,New York Giants,0-10,L,,"Chicago, IL",Comiskey Park,11892,,Chicago Cardinals,chic
9,Sun,12/2/1951,A,Cleveland Browns,28-49,L,,"Cleveland, OH",Cleveland Stadium,30550,,Chicago Cardinals,chic
10,Sun,12/9/1951,H,Washington Redskins,17-20,L,,"Chicago, IL",Comiskey Park,9459,,Chicago Cardinals,chic
11,Sun,12/16/1951,A,Chicago Bears,24-14,W,,"Chicago, IL",Wrigley Field,15085,,Chicago Cardinals,chic
0,Fri,9/28/1951,A,New York Yanks,54-14,W,,"Los Angeles, CA",Memorial Coliseum,30315,"Moved from New York, NY",Los Angeles Rams,larm
1,Sun,10/7/1951,H,Cleveland Browns,23-38,L,,"Los Angeles, CA",Memorial Coliseum,67186,,Los Angeles Rams,larm
2,Sun,10/14/1951,A,Detroit Lions,27-21,W,,"Detroit, MI",Briggs Stadium,50567,,Los Angeles Rams,larm
3,Sun,10/21/1951,A,Green Bay Packers,28-0,W,,"West Allis, WI",Wisconsin State Fair Park,21393,,Los Angeles Rams,larm
4,Sun,10/28/1951,A,San Francisco 49ers,17-44,L,,"San Francisco, CA",Kezar Stadium,51987,,Los Angeles Rams,larm
5,Sun,11/4/1951,H,San Francisco 49ers,23-16,W,,"Los Angeles, CA",Memorial Coliseum,54346,,Los Angeles Rams,larm
6,Sun,11/11/1951,H,Chicago Cardinals,45-21,W,,"Los Angeles, CA",Memorial Coliseum,29995,,Los Angeles Rams,larm
7,Sun,11/18/1951,H,New York Yanks,48-21,W,,"Los Angeles, CA",Memorial Coliseum,34717,,Los Angeles Rams,larm
8,Sun,11/25/1951,A,Washington Redskins,21-31,L,,"Washington, DC",Griffith Stadium,26307,,Los Angeles Rams,larm
9,Sun,12/2/1951,A,Chicago Bears,42-17,W,,"Chicago, IL",Wrigley Field,50286,,Los Angeles Rams,larm
10,Sun,12/9/1951,H,Detroit Lions,22-24,L,,"Los Angeles, CA",Memorial Coliseum,52937,,Los Angeles Rams,larm
11,Sun,12/16/1951,H,Green Bay Packers,42-14,W,,"Los Angeles, CA",Memorial Coliseum,23698,,Los Angeles Rams,larm
12,Sun,12/23/1951,H,Cleveland Browns,24-17,W,,"Los Angeles, CA",Memorial Coliseum,57540,League Championship,Los Angeles Rams,larm
0,Sun,9/30/1951,H,Washington Redskins,35-17,W,,"Detroit, MI",Briggs Stadium,28900,,Detroit Lions,det
1,Mon,10/8/1951,A,New York Yanks,37-10,W,,"Detroit, MI",Briggs Stadium,24194,"Moved from New York, NY",Detroit Lions,det
2,Sun,10/14/1951,H,Los Angeles Rams,21-27,L,,"Detroit, MI",Briggs Stadium,50567,,Detroit Lions,det
3,Sun,10/21/1951,H,New York Yanks,24-24,T,,"Detroit, MI",Briggs Stadium,21807,,Detroit Lions,det
4,Sun,10/28/1951,H,Chicago Bears,23-28,L,,"Detroit, MI",Briggs Stadium,34778,,Detroit Lions,det
5,Sun,11/4/1951,A,Green Bay Packers,24-17,W,,"Green Bay, WI",City Stadium,18165,,Detroit Lions,det
6,Sun,11/11/1951,A,Chicago Bears,41-28,W,,"Chicago, IL",Wrigley Field,43709,,Detroit Lions,det
7,Sun,11/18/1951,A,Philadelphia Eagles,28-10,W,,"Philadelphia, PA",Shibe Park,25350,,Detroit Lions,det
8,Thu,11/22/1951,H,Green Bay Packers,52-35,W,,"Detroit, MI",Briggs Stadium,32247,,Detroit Lions,det
9,Sun,12/2/1951,H,San Francisco 49ers,10-20,L,,"Detroit, MI",Briggs Stadium,45757,,Detroit Lions,det
10,Sun,12/9/1951,A,Los Angeles Rams,24-22,W,,"Los Angeles, CA",Memorial Coliseum,52937,,Detroit Lions,det
11,Sun,12/16/1951,A,San Francisco 49ers,17-21,L,,"San Francisco, CA",Kezar Stadium,26465,,Detroit Lions,det
0,Sun,9/30/1951,H,Cleveland Browns,24-10,W,,"San Francisco, CA",Kezar Stadium,48263,,San Francisco 49ers,sf
1,Sat,10/6/1951,A,Philadelphia Eagles,14-21,L,,"Philadelphia, PA",Shibe Park,23432,,San Francisco 49ers,sf
2,Sun,10/14/1951,A,Pittsburgh Steelers,28-24,W,,"Pittsburgh, PA",Forbes Field,27124,,San Francisco 49ers,sf
3,Sun,10/21/1951,A,Chicago Bears,7-13,L,,"Chicago, IL",Wrigley Field,43727,,San Francisco 49ers,sf
4,Sun,10/28/1951,H,Los Angeles Rams,44-17,W,,"San Francisco, CA",Kezar Stadium,51987,,San Francisco 49ers,sf
5,Sun,11/4/1951,A,Los Angeles Rams,16-23,L,,"Los Angeles, CA",Memorial Coliseum,54346,,San Francisco 49ers,sf
6,Sun,11/11/1951,H,New York Yanks,19-14,W,,"San Francisco, CA",Kezar Stadium,25538,,San Francisco 49ers,sf
7,Sun,11/18/1951,H,Chicago Cardinals,21-27,L,,"San Francisco, CA",Kezar Stadium,19658,,San Francisco 49ers,sf
8,Sun,11/25/1951,A,New York Yanks,10-10,T,,"New York, NY",Yankee Stadium,10184,,San Francisco 49ers,sf
9,Sun,12/2/1951,A,Detroit Lions,20-10,W,,"Detroit, MI",Briggs Stadium,45757,,San Francisco 49ers,sf
10,Sun,12/9/1951,H,Green Bay Packers,31-19,W,,"San Francisco, CA",Kezar Stadium,15121,,San Francisco 49ers,sf
11,Sun,12/16/1951,H,Detroit Lions,21-17,W,,"San Francisco, CA",Kezar Stadium,26465,,San Francisco 49ers,sf
0,Sun,9/30/1951,A,Green Bay Packers,31-20,W,,"Green Bay, WI",City Stadium,24666,,Chicago Bears,chib
1,Sun,10/7/1951,A,Chicago Cardinals,14-28,L,,"Chicago, IL",Comiskey Park,33781,,Chicago Bears,chib
2,Sun,10/14/1951,H,New York Yanks,24-21,W,,"Chicago, IL",Wrigley Field,37697,,Chicago Bears,chib
3,Sun,10/21/1951,H,San Francisco 49ers,13-7,W,,"Chicago, IL",Wrigley Field,43727,,Chicago Bears,chib
4,Sun,10/28/1951,A,Detroit Lions,28-23,W,,"Detroit, MI",Briggs Stadium,34778,,Chicago Bears,chib
5,Sun,11/4/1951,A,Washington Redskins,27-0,W,,"Washington, DC",Griffith Stadium,31737,,Chicago Bears,chib
6,Sun,11/11/1951,H,Detroit Lions,28-41,L,,"Chicago, IL",Wrigley Field,43709,,Chicago Bears,chib
7,Sun,11/18/1951,H,Green Bay Packers,24-13,W,,"Chicago, IL",Wrigley Field,36771,,Chicago Bears,chib
8,Sun,11/25/1951,A,Cleveland Browns,21-42,L,,"Cleveland, OH",Cleveland Stadium,40969,,Chicago Bears,chib
9,Sun,12/2/1951,H,Los Angeles Rams,17-42,L,,"Chicago, IL",Wrigley Field,50286,,Chicago Bears,chib
10,Sun,12/9/1951,A,New York Yanks,45-21,W,,"New York, NY",Yankee Stadium,13075,,Chicago Bears,chib
11,Sun,12/16/1951,H,Chicago Cardinals,14-24,L,,"Chicago, IL",Wrigley Field,15085,,Chicago Bears,chib
0,Sun,9/30/1951,H,Chicago Bears,20-31,L,,"Green Bay, WI",City Stadium,24666,,Green Bay Packers,gb
1,Sun,10/7/1951,H,Pittsburgh Steelers,35-33,W,,"West Allis, WI",Wisconsin State Fair Park,8324,,Green Bay Packers,gb
2,Sun,10/14/1951,H,Philadelphia Eagles,37-24,W,,"Green Bay, WI",City Stadium,18489,,Green Bay Packers,gb
3,Sun,10/21/1951,H,Los Angeles Rams,0-28,L,,"West Allis, WI",Wisconsin State Fair Park,21393,,Green Bay Packers,gb
4,Sun,10/28/1951,A,New York Yanks,29-27,W,,"New York, NY",Yankee Stadium,7351,,Green Bay Packers,gb
5,Sun,11/4/1951,H,Detroit Lions,17-24,L,,"Green Bay, WI",City Stadium,18165,,Green Bay Packers,gb
6,Sun,11/11/1951,A,Pittsburgh Steelers,7-28,L,,"Pittsburgh, PA",Forbes Field,20080,,Green Bay Packers,gb
7,Sun,11/18/1951,A,Chicago Bears,13-24,L,,"Chicago, IL",Wrigley Field,36771,,Green Bay Packers,gb
8,Thu,11/22/1951,A,Detroit Lions,35-52,L,,"Detroit, MI",Briggs Stadium,32247,,Green Bay Packers,gb
9,Sun,12/2/1951,H,New York Yanks,28-31,L,,"Green Bay, WI",City Stadium,14297,,Green Bay Packers,gb
10,Sun,12/9/1951,A,San Francisco 49ers,19-31,L,,"San Francisco, CA",Kezar Stadium,15121,,Green Bay Packers,gb
11,Sun,12/16/1951,A,Los Angeles Rams,14-42,L,,"Los Angeles, CA",Memorial Coliseum,23698,,Green Bay Packers,gb
0,Fri,9/28/1951,H,Los Angeles Rams,14-54,L,,"Los Angeles, CA",Memorial Coliseum,30315,"Moved from New York, NY",New York Yanks,nyy
1,Mon,10/8/1951,H,Detroit Lions,10-37,L,,"Detroit, MI",Briggs Stadium,24194,"Moved from New York, NY",New York Yanks,nyy
2,Sun,10/14/1951,A,Chicago Bears,21-24,L,,"Chicago, IL",Wrigley Field,37697,,New York Yanks,nyy
3,Sun,10/21/1951,A,Detroit Lions,24-24,T,,"Detroit, MI",Briggs Stadium,21807,,New York Yanks,nyy
4,Sun,10/28/1951,H,Green Bay Packers,27-29,L,,"New York, NY",Yankee Stadium,7351,,New York Yanks,nyy
5,Sun,11/4/1951,A,New York Giants,31-37,L,,"New York, NY",Polo Grounds,25682,,New York Yanks,nyy
6,Sun,11/11/1951,A,San Francisco 49ers,14-19,L,,"San Francisco, CA",Kezar Stadium,25538,,New York Yanks,nyy
7,Sun,11/18/1951,A,Los Angeles Rams,21-48,L,,"Los Angeles, CA",Memorial Coliseum,34717,,New York Yanks,nyy
8,Sun,11/25/1951,H,San Francisco 49ers,10-10,T,,"New York, NY",Yankee Stadium,10184,,New York Yanks,nyy
9,Sun,12/2/1951,A,Green Bay Packers,31-28,W,,"Green Bay, WI",City Stadium,14297,,New York Yanks,nyy
10,Sun,12/9/1951,H,Chicago Bears,21-45,L,,"New York, NY",Yankee Stadium,13075,,New York Yanks,nyy
11,Sun,12/16/1951,H,New York Giants,17-27,L,,"New York, NY",Yankee Stadium,16658,,New York Yanks,nyy
0,Sun,9/28/1952,H,Los Angeles Rams,37-7,W,,"Cleveland, OH",Cleveland Stadium,57832,,Cleveland Browns,cle
1,Sat,10/4/1952,A,Pittsburgh Steelers,21-20,W,,"Pittsburgh, PA",Forbes Field,27923,,Cleveland Browns,cle
2,Sun,10/12/1952,H,New York Giants,9-17,L,,"Cleveland, OH",Cleveland Stadium,51858,,Cleveland Browns,cle
3,Sun,10/19/1952,A,Philadelphia Eagles,49-7,W,,"Philadelphia, PA",Shibe Park,27874,,Cleveland Browns,cle
4,Sun,10/26/1952,H,Washington Redskins,19-15,W,,"Cleveland, OH",Cleveland Stadium,32496,,Cleveland Browns,cle
5,Sun,11/2/1952,A,Detroit Lions,6-17,L,,"Detroit, MI",Briggs Stadium,56028,,Cleveland Browns,cle
6,Sun,11/9/1952,H,Chicago Cardinals,28-13,W,,"Cleveland, OH",Cleveland Stadium,34097,,Cleveland Browns,cle
7,Sun,11/16/1952,H,Pittsburgh Steelers,29-28,W,,"Cleveland, OH",Cleveland Stadium,34973,,Cleveland Browns,cle
8,Sun,11/23/1952,H,Philadelphia Eagles,20-28,L,,"Cleveland, OH",Cleveland Stadium,28948,,Cleveland Browns,cle
9,Sun,11/30/1952,A,Washington Redskins,48-24,W,,"Washington, DC",Griffith Stadium,22679,,Cleveland Browns,cle
10,Sun,12/7/1952,A,Chicago Cardinals,10-0,W,,"Chicago, IL",Comiskey Park,24541,,Cleveland Browns,cle
11,Sun,12/14/1952,A,New York Giants,34-37,L,,"New York, NY",Polo Grounds,41610,,Cleveland Browns,cle
12,Sun,12/28/1952,H,Detroit Lions,7-17,L,,"Cleveland, OH",Cleveland Stadium,50934,League Championship,Cleveland Browns,cle
0,Sun,9/28/1952,A,Dallas Texans,24-6,W,,"Dallas, TX",Cotton Bowl,17500,,New York Giants,nyg
1,Sat,10/4/1952,A,Philadelphia Eagles,31-7,W,,"Philadelphia, PA",Shibe Park,22512,,New York Giants,nyg
2,Sun,10/12/1952,A,Cleveland Browns,17-9,W,,"Cleveland, OH",Cleveland Stadium,51858,,New York Giants,nyg
3,Sun,10/19/1952,H,Chicago Cardinals,23-24,L,,"New York, NY",Polo Grounds,41182,,New York Giants,nyg
4,Sun,10/26/1952,H,Philadelphia Eagles,10-14,L,,"New York, NY",Polo Grounds,21458,,New York Giants,nyg
5,Sun,11/2/1952,A,Chicago Cardinals,28-6,W,,"Chicago, IL",Comiskey Park,27195,,New York Giants,nyg
6,Sun,11/9/1952,H,San Francisco 49ers,23-14,W,,"New York, NY",Polo Grounds,50880,,New York Giants,nyg
7,Sun,11/16/1952,H,Green Bay Packers,3-17,L,,"New York, NY",Polo Grounds,26723,,New York Giants,nyg
8,Sun,11/23/1952,A,Washington Redskins,14-10,W,,"Washington, DC",Griffith Stadium,21125,,New York Giants,nyg
9,Sun,11/30/1952,A,Pittsburgh Steelers,7-63,L,,"Pittsburgh, PA",Forbes Field,15140,,New York Giants,nyg
10,Sun,12/7/1952,H,Washington Redskins,17-27,L,,"New York, NY",Polo Grounds,21237,,New York Giants,nyg
11,Sun,12/14/1952,H,Cleveland Browns,37-34,W,,"New York, NY",Polo Grounds,41610,,New York Giants,nyg
0,Sun,9/28/1952,A,Pittsburgh Steelers,31-25,W,,"Pittsburgh, PA",Forbes Field,22501,,Philadelphia Eagles,phi
1,Sat,10/4/1952,H,New York Giants,7-31,L,,"Philadelphia, PA",Shibe Park,22512,,Philadelphia Eagles,phi
2,Sun,10/12/1952,H,Pittsburgh Steelers,26-21,W,,"Philadelphia, PA",Shibe Park,18648,,Philadelphia Eagles,phi
3,Sun,10/19/1952,H,Cleveland Browns,7-49,L,,"Philadelphia, PA",Shibe Park,27874,,Philadelphia Eagles,phi
4,Sun,10/26/1952,A,New York Giants,14-10,W,,"New York, NY",Polo Grounds,21458,,Philadelphia Eagles,phi
5,Sun,11/2/1952,A,Green Bay Packers,10-12,L,,"Milwaukee, WI",Marquette Stadium,10149,,Philadelphia Eagles,phi
6,Sun,11/9/1952,H,Washington Redskins,38-20,W,,"Philadelphia, PA",Shibe Park,16932,,Philadelphia Eagles,phi
7,Sun,11/16/1952,H,Chicago Cardinals,10-7,W,,"Philadelphia, PA",Shibe Park,18908,,Philadelphia Eagles,phi
8,Sun,11/23/1952,A,Cleveland Browns,28-20,W,,"Cleveland, OH",Cleveland Stadium,28948,,Philadelphia Eagles,phi
9,Sun,11/30/1952,A,Chicago Cardinals,22-28,L,,"Chicago, IL",Comiskey Park,13577,,Philadelphia Eagles,phi
10,Sun,12/7/1952,H,Dallas Texans,38-21,W,,"Philadelphia, PA",Shibe Park,18367,,Philadelphia Eagles,phi
11,Sun,12/14/1952,A,Washington Redskins,21-27,L,,"Washington, DC",Griffith Stadium,22468,,Philadelphia Eagles,phi
0,Sun,9/28/1952,H,Philadelphia Eagles,25-31,L,,"Pittsburgh, PA",Forbes Field,22501,,Pittsburgh Steelers,pit
1,Sat,10/4/1952,H,Cleveland Browns,20-21,L,,"Pittsburgh, PA",Forbes Field,27923,,Pittsburgh Steelers,pit
2,Sun,10/12/1952,A,Philadelphia Eagles,21-26,L,,"Philadelphia, PA",Shibe Park,18648,,Pittsburgh Steelers,pit
3,Sun,10/19/1952,H,Washington Redskins,24-28,L,,"Pittsburgh, PA",Forbes Field,22605,,Pittsburgh Steelers,pit
4,Sun,10/26/1952,A,Chicago Cardinals,34-28,W,,"Chicago, IL",Comiskey Park,20395,,Pittsburgh Steelers,pit
5,Sun,11/2/1952,A,Washington Redskins,24-23,W,,"Washington, DC",Griffith Stadium,25866,,Pittsburgh Steelers,pit
6,Sun,11/9/1952,H,Detroit Lions,6-31,L,,"Pittsburgh, PA",Forbes Field,26170,,Pittsburgh Steelers,pit
7,Sun,11/16/1952,A,Cleveland Browns,28-29,L,,"Cleveland, OH",Cleveland Stadium,34973,,Pittsburgh Steelers,pit
8,Sun,11/23/1952,H,Chicago Cardinals,17-14,W,,"Pittsburgh, PA",Forbes Field,18330,,Pittsburgh Steelers,pit
9,Sun,11/30/1952,H,New York Giants,63-7,W,,"Pittsburgh, PA",Forbes Field,15140,,Pittsburgh Steelers,pit
10,Sun,12/7/1952,A,San Francisco 49ers,24-7,W,,"San Francisco, CA",Kezar Stadium,13866,,Pittsburgh Steelers,pit
11,Sun,12/14/1952,A,Los Angeles Rams,14-28,L,,"Los Angeles, CA",Memorial Coliseum,71310,,Pittsburgh Steelers,pit
0,Mon,9/29/1952,H,Washington Redskins,7-23,L,,"Chicago, IL",Comiskey Park,17837,,Chicago Cardinals,chic
1,Sun,10/5/1952,H,Chicago Bears,21-10,W,,"Chicago, IL",Comiskey Park,34697,,Chicago Cardinals,chic
2,Sun,10/12/1952,A,Washington Redskins,17-6,W,,"Washington, DC",Griffith Stadium,24600,,Chicago Cardinals,chic
3,Sun,10/19/1952,A,New York Giants,24-23,W,,"New York, NY",Polo Grounds,41182,,Chicago Cardinals,chic
4,Sun,10/26/1952,H,Pittsburgh Steelers,28-34,L,,"Chicago, IL",Comiskey Park,20395,,Chicago Cardinals,chic
5,Sun,11/2/1952,H,New York Giants,6-28,L,,"Chicago, IL",Comiskey Park,27195,,Chicago Cardinals,chic
6,Sun,11/9/1952,A,Cleveland Browns,13-28,L,,"Cleveland, OH",Cleveland Stadium,34097,,Chicago Cardinals,chic
7,Sun,11/16/1952,A,Philadelphia Eagles,7-10,L,,"Philadelphia, PA",Shibe Park,18908,,Chicago Cardinals,chic
8,Sun,11/23/1952,A,Pittsburgh Steelers,14-17,L,,"Pittsburgh, PA",Forbes Field,18330,,Chicago Cardinals,chic
9,Sun,11/30/1952,H,Philadelphia Eagles,28-22,W,,"Chicago, IL",Comiskey Park,13577,,Chicago Cardinals,chic
10,Sun,12/7/1952,H,Cleveland Browns,0-10,L,,"Chicago, IL",Comiskey Park,24541,,Chicago Cardinals,chic
11,Sun,12/14/1952,A,Chicago Bears,7-10,L,,"Chicago, IL",Wrigley Field,32578,,Chicago Cardinals,chic
0,Mon,9/29/1952,A,Chicago Cardinals,23-7,W,,"Chicago, IL",Comiskey Park,17837,,Washington Redskins,was
1,Sun,10/5/1952,A,Green Bay Packers,20-35,L,,"Milwaukee, WI",Marquette Stadium,9657,,Washington Redskins,was
2,Sun,10/12/1952,H,Chicago Cardinals,6-17,L,,"Washington, DC",Griffith Stadium,24600,,Washington Redskins,was
3,Sun,10/19/1952,A,Pittsburgh Steelers,28-24,W,,"Pittsburgh, PA",Forbes Field,22605,,Washington Redskins,was
4,Sun,10/26/1952,A,Cleveland Browns,15-19,L,,"Cleveland, OH",Cleveland Stadium,32496,,Washington Redskins,was
5,Sun,11/2/1952,H,Pittsburgh Steelers,23-24,L,,"Washington, DC",Griffith Stadium,25866,,Washington Redskins,was
6,Sun,11/9/1952,A,Philadelphia Eagles,20-38,L,,"Philadelphia, PA",Shibe Park,16932,,Washington Redskins,was
7,Sun,11/16/1952,H,San Francisco 49ers,17-23,L,,"Washington, DC",Griffith Stadium,28997,,Washington Redskins,was
8,Sun,11/23/1952,H,New York Giants,10-14,L,,"Washington, DC",Griffith Stadium,21125,,Washington Redskins,was
9,Sun,11/30/1952,H,Cleveland Browns,24-48,L,,"Washington, DC",Griffith Stadium,22679,,Washington Redskins,was
10,Sun,12/7/1952,A,New York Giants,27-17,W,,"New York, NY",Polo Grounds,21237,,Washington Redskins,was
11,Sun,12/14/1952,H,Philadelphia Eagles,27-21,W,,"Washington, DC",Griffith Stadium,22468,,Washington Redskins,was
0,Sun,9/28/1952,A,San Francisco 49ers,3-17,L,,"San Francisco, CA",Kezar Stadium,54761,,Detroit Lions,det
1,Fri,10/3/1952,A,Los Angeles Rams,17-14,W,,"Los Angeles, CA",Memorial Coliseum,42743,,Detroit Lions,det
2,Sun,10/12/1952,H,San Francisco 49ers,0-28,L,,"Detroit, MI",Briggs Stadium,48842,,Detroit Lions,det
3,Sun,10/19/1952,H,Los Angeles Rams,24-16,W,,"Detroit, MI",Briggs Stadium,40152,,Detroit Lions,det
4,Sun,10/26/1952,A,Green Bay Packers,52-17,W,,"Green Bay, WI",City Stadium,24656,,Detroit Lions,det
5,Sun,11/2/1952,H,Cleveland Browns,17-6,W,,"Detroit, MI",Briggs Stadium,56028,,Detroit Lions,det
6,Sun,11/9/1952,A,Pittsburgh Steelers,31-6,W,,"Pittsburgh, PA",Forbes Field,26170,,Detroit Lions,det
7,Sun,11/16/1952,H,Dallas Texans,43-13,W,,"Detroit, MI",Briggs Stadium,33304,,Detroit Lions,det
8,Sun,11/23/1952,A,Chicago Bears,23-24,L,,"Chicago, IL",Wrigley Field,37508,,Detroit Lions,det
9,Thu,11/27/1952,H,Green Bay Packers,48-24,W,,"Detroit, MI",Briggs Stadium,39101,,Detroit Lions,det
10,Sun,12/7/1952,H,Chicago Bears,45-21,W,,"Detroit, MI",Briggs Stadium,50410,,Detroit Lions,det
11,Sat,12/13/1952,H,Dallas Texans,41-6,W,,"Detroit, MI",Briggs Stadium,12452,,Detroit Lions,det
12,Sun,12/21/1952,H,Los Angeles Rams,31-21,W,,"Detroit, MI",Briggs Stadium,47645,Natonal Conference Playoff,Detroit Lions,det
13,Sun,12/28/1952,A,Cleveland Browns,17-7,W,,"Cleveland, OH",Cleveland Stadium,50934,League Championship,Detroit Lions,det
0,Sun,9/28/1952,A,Cleveland Browns,7-37,L,,"Cleveland, OH",Cleveland Stadium,57832,,Los Angeles Rams,larm
1,Fri,10/3/1952,H,Detroit Lions,14-17,L,,"Los Angeles, CA",Memorial Coliseum,42743,,Los Angeles Rams,larm
2,Sun,10/12/1952,A,Green Bay Packers,30-28,W,,"Milwaukee, WI",Marquette Stadium,21693,,Los Angeles Rams,larm
3,Sun,10/19/1952,A,Detroit Lions,16-24,L,,"Detroit, MI",Briggs Stadium,40152,,Los Angeles Rams,larm
4,Sun,10/26/1952,H,Chicago Bears,31-7,W,,"Los Angeles, CA",Memorial Coliseum,43574,,Los Angeles Rams,larm
5,Sun,11/2/1952,H,Dallas Texans,42-20,W,,"Los Angeles, CA",Memorial Coliseum,30702,,Los Angeles Rams,larm
