,Day,Date,Home/Away,Opponent,Score,W/L/T,Overtime,Location,Venue,Attendance,Notes,Team,Team Code
7,Wed,10/8/1930,H,Chicago Cardinals,0-13,L,,"Newark, NJ",Newark Schools Stadium,5000,,Newark Tornadoes,new
8,Sun,10/12/1930,A,Brooklyn Dodgers,0-32,L,,"New York, NY",Ebbets Field,7000,,Newark Tornadoes,new
9,Thu,10/16/1930,H,Providence Steam Roller,,-,,"Newark, NJ",,,Canceled; Postponed from 10/15,Newark Tornadoes,new
10,Sun,10/19/1930,H,Brooklyn Dodgers,0-14,L,,"Newark, NJ",Newark Velodrome,,,Newark Tornadoes,new
11,Sun,10/26/1930,H,Staten Island Stapletons,0-6,L,,"Newark, NJ",Newark Velodrome,,,Newark Tornadoes,new
12,Thu,10/30/1930,A,New York Giants,7-34,L,,"New York, NY",Polo Grounds,5000,Postponed from 10/29,Newark Tornadoes,new
13,Sun,11/9/1930,H,Minneapolis Redjackets,,-,,"Newark, NJ",Newark Velodrome,,Canceled,Newark Tornadoes,new
14,Sun,11/16/1930,H,Frankford Yellow Jackets,,-,,"Newark, NJ",Newark Velodrome,,Canceled,Newark Tornadoes,new
15,Sun,11/23/1930,,Portsmouth Spartans,,-,,,,,Canceled,Newark Tornadoes,new
16,Sun,11/30/1930,H,Green Bay Packers,,-,,"Newark, NJ",Newark Velodrome,,Canceled,Newark Tornadoes,new
0,Sun,9/13/1931,H,Cleveland Indians,26-0,W,,"Green Bay, WI",City Stadium,6000,,Green Bay Packers,gb
1,Sun,9/20/1931,H,Brooklyn Dodgers,32-6,W,,"Green Bay, WI",City Stadium,7000,,Green Bay Packers,gb
2,Sun,9/27/1931,H,Chicago Bears,7-0,W,,"Green Bay, WI",City Stadium,13500,,Green Bay Packers,gb
