Year,Team,Totals,Points scored in 1st quarter,Points scored in 2nd quarter,Points scored in 3rd quarter,Points scored in 4th quarter,Points scored in overtime,1st quarter,2nd quarter,3rd quarter,4th quarter,Overtime
2015,si,Opponents Totals,67,129,106,100,6,,,,,
2015,atl,Team Totals,35,126,94,121,0,,,,,
2015,atl,Opponents Totals,83,163,69,130,3,,,,,
2015,ltb,Team Totals,67,71,84,71,6,,,,,
2015,ltb,Opponents Totals,96,127,75,125,0,,,,,
2015,col,Team Totals,67,103,57,116,12,,,,,
2015,col,Opponents Totals,41,98,58,99,0,,,,,
2015,lou,Team Totals,95,132,63,115,,,,,,
2015,lou,Opponents Totals,70,70,60,87,,,,,,
2015,was,Team Totals,58,136,84,78,3,,,,,
2015,was,Opponents Totals,102,96,63,138,0,,,,,
2015,lgb,Team Totals,52,112,51,105,0,,,,,
2015,lgb,Opponents Totals,90,103,73,129,3,,,,,
2015,lsea,Team Totals,102,110,61,115,0,,,,,
2015,lsea,Opponents Totals,71,84,100,118,6,,,,,
2015,ari,Team Totals,64,112,98,97,6,,,,,
2015,ari,Opponents Totals,87,136,92,115,0,,,,,
2015,roc,Team Totals,71,138,74,137,0,,,,,
2015,roc,Opponents Totals,87,126,86,140,3,,,,,
2015,lne,Team Totals,51,84,46,94,0,,,,,
2015,lne,Opponents Totals,66,100,64,132,12,,,,,
2015,lnyg,Team Totals,76,91,92,103,3,,,,,
2015,lnyg,Opponents Totals,52,104,47,99,0,,,,,
2015,ind,Team Totals,106,56,86,100,,,,,,
2015,ind,Opponents Totals,45,121,106,51,,,,,,
2015,oor,Team Totals,85,107,56,107,3,,,,,
2015,oor,Opponents Totals,36,132,97,135,0,,,,,
2015,cin,Team Totals,41,125,45,124,0,,,,,
2015,cin,Opponents Totals,110,106,72,100,9,,,,,
2015,nyj,Team Totals,99,167,130,98,6,,,,,
2015,nyj,Opponents Totals,70,51,79,105,3,,,,,
2015,gb,Team Totals,47,124,56,106,6,,,,,
2015,gb,Opponents Totals,80,95,87,80,3,,,,,
2015,lsf,Team Totals,121,97,81,103,6,,,,,
2015,lsf,Opponents Totals,68,139,123,140,6,,,,,
2015,sf,Team Totals,58,117,74,90,3,,,,,
2015,sf,Opponents Totals,85,132,95,105,0,,,,,
2015,lind,Team Totals,96,153,142,108,,,,,,
2015,lind,Opponents Totals,61,100,62,90,,,,,,
2015,bkn,Team Totals,77,128,111,107,,,,,,
2015,bkn,Opponents Totals,40,91,49,91,,,,,,
2015,lmia,Team Totals,69,93,64,51,3,,,,,
2015,lmia,Opponents Totals,77,71,72,104,6,,,,,
2015,lcle,Team Totals,25,93,42,69,9,,,,,
2015,lcle,Opponents Totals,79,163,56,89,0,,,,,
2016,ne,Team Totals,130,112,106,93,,,,,,
2016,ne,Opponents Totals,32,77,61,80,,,,,,
2016,lbuf,Team Totals,41,101,111,101,9,,,,,
2016,lbuf,Opponents Totals,110,95,58,117,0,,,,,
2016,lten,Team Totals,78,99,110,112,0,,,,,
2016,lten,Opponents Totals,72,118,100,85,3,,,,,
2016,bos,Team Totals,46,95,44,84,6,,,,,
2016,bos,Opponents Totals,99,130,84,96,0,,,,,
2016,phi,Team Totals,95,94,59,145,6,,,,,
2016,phi,Opponents Totals,62,83,74,105,3,,,,,
2016,dal,Team Totals,92,82,62,106,,,,,,
2016,dal,Opponents Totals,73,79,60,109,,,,,,
2016,pit,Team Totals,97,94,69,65,,,,,,
2016,pit,Opponents Totals,71,81,69,94,,,,,,
2016,stl,Team Totals,63,101,36,61,3,,,,,
2016,stl,Opponents Totals,103,123,107,107,12,,,,,
2016,c-p,Team Totals,47,74,65,90,3,,,,,
2016,c-p,Opponents Totals,54,118,44,112,0,,,,,
2016,si,Team Totals,77,149,59,96,,,,,,
2016,si,Opponents Totals,97,95,75,11,,,,,,
2016,atl,Team Totals,84,120,73,134,0,,,,,
2016,atl,Opponents Totals,66,134,65,124,3,,,,,
2016,ltb,Team Totals,51,90,64,113,,,,,,
2016,ltb,Opponents Totals,57,134,99,110,,,,,,
