Year,Team,Totals,1st,2nd,3rd,4th,YDS,TOP,Rushing,Passing,Penalty,3RD DOWN EFFICIENCY,4TH DOWN EFFICIENCY,PEN,OT
1925,col,Opponents Totals,17,38,6,26,,,,,,,,,
1925,tol,Team Totals,26,0,0,7,,,,,,,,,
1925,tol,Opponents Totals,16,46,14,37,,,,,,,,,
1925,ltb,Team Totals,3,0,13,12,,,,,,,,,
1925,ltb,Opponents Totals,46,31,12,35,,,,,,,,,
1925,lmin,Team Totals,3,0,0,0,,,,,,,,,
1925,lmin,Opponents Totals,21,13,20,30,,,,,,,,,
1925,c-p,Team Totals,0,6,0,0,,,,,,,,,
1925,c-p,Opponents Totals,3,12,7,3,,,,,,,,,
1925,chit,Team Totals,0,7,0,0,,,,,,,,,
1925,chit,Opponents Totals,23,66,28,73,,,,,,,,,
1925,nyj,Team Totals,0,6,0,20,,,,,,,,,
1925,nyj,Opponents Totals,17,32,20,42,,,,,,,,,
1926,lkc,Team Totals,43,65,37,91,,,,,,,,,
1926,lkc,Opponents Totals,3,23,10,13,,,,,,,,,
1926,har,Team Totals,,,,,,,,,,,,,
1926,har,Opponents Totals,13,7,16,27,,,,,,,,,
1926,llarm,Team Totals,24,37,52,42,,,,,,,,,
1926,llarm,Opponents Totals,0,10,6,13,,,,,,,,,
1926,min,Team Totals,27,18,18,13,,,,,,,,,
1926,min,Opponents Totals,3,22,14,14,,,,,,,,,
1926,larm,Team Totals,30,28,37,56,,,,,,,,,
1926,larm,Opponents Totals,19,10,6,26,,,,,,,,,
1926,bal,Team Totals,10,27,20,10,,,,,,,,,
1926,bal,Opponents Totals,12,7,38,0,,,,,,,,,
1926,lten,Team Totals,27,24,62,34,,,,,,,,,
1926,lten,Opponents Totals,7,18,13,13,,,,,,,,,
1926,dul,Team Totals,20,27,33,33,,,,,,,,,
1926,dul,Opponents Totals,17,14,41,9,,,,,,,,,
1926,atl,Team Totals,14,27,6,6,,,,,,,,,
1926,atl,Opponents Totals,16,10,15,21,,,,,,,,,
1926,ham,Team Totals,26,20,9,19,,,,,,,,,
1926,ham,Opponents Totals,16,13,41,28,,,,,,,,,
